1.95e-08,-6.2918e-12
1.96e-08,-0.13312
1.97e-08,-0.22746
1.98e-08,-0.23995
1.99e-08,-0.15629
2e-08,1.4073e-10
2.01e-08,0.17304
2.02e-08,0.29417
2.03e-08,0.30875
2.04e-08,0.20007
2.05e-08,-1.6965e-10
2.06e-08,-0.21928
2.07e-08,-0.37088
2.08e-08,-0.38729
2.09e-08,-0.24969
2.1e-08,3.2625e-10
2.11e-08,0.27089
2.12e-08,0.45584
2.13e-08,0.47359
2.14e-08,0.30378
2.15e-08,4.136e-10
2.16e-08,-0.32623
2.17e-08,-0.54618
2.18e-08,-0.56456
2.19e-08,-0.3603
2.2e-08,-5.064e-10
2.21e-08,0.383
2.22e-08,0.63797
2.23e-08,0.65609
2.24e-08,0.41658
2.25e-08,-9.2316e-11
2.26e-08,-0.43835
2.27e-08,-0.72644
2.28e-08,-0.74328
2.29e-08,-0.46954
2.3e-08,-5.4286e-11
2.31e-08,0.48907
2.32e-08,0.80639
2.33e-08,0.82089
2.34e-08,0.51594
2.35e-08,-6.6458e-10
2.36e-08,-0.53194
2.37e-08,-0.87262
2.38e-08,-0.8838
2.39e-08,-0.55266
2.4e-08,1.0374e-09
2.41e-08,0.56403
2.42e-08,0.92056
2.43e-08,0.92762
2.44e-08,0.57711
2.45e-08,1.1418e-10
2.46e-08,-0.58302
2.47e-08,-0.94671
2.48e-08,-0.94912
2.49e-08,-0.58749
2.5e-08,-6.0979e-10
2.51e-08,0.58749
2.52e-08,0.94912
2.53e-08,0.94671
2.54e-08,0.58302
2.55e-08,-2.5043e-11
2.56e-08,-0.57711
2.57e-08,-0.92762
2.58e-08,-0.92056
2.59e-08,-0.56403
2.6e-08,1.5248e-09
2.61e-08,0.55266
2.62e-08,0.8838
2.63e-08,0.87262
2.64e-08,0.53194
2.65e-08,4.5531e-10
2.66e-08,-0.51594
2.67e-08,-0.82089
2.68e-08,-0.80639
2.69e-08,-0.48907
2.7e-08,-1.2898e-09
2.71e-08,0.46954
2.72e-08,0.74328
2.73e-08,0.72644
2.74e-08,0.43835
2.75e-08,-1.0156e-10
2.76e-08,-0.41658
2.77e-08,-0.65609
2.78e-08,-0.63797
2.79e-08,-0.383
2.8e-08,-5.9049e-10
2.81e-08,0.3603
2.82e-08,0.56456
2.83e-08,0.54618
2.84e-08,0.32623
2.85e-08,9.0148e-10
2.86e-08,-0.30378
2.87e-08,-0.47359
2.88e-08,-0.45584
2.89e-08,-0.27089
2.9e-08,4.9947e-10
2.91e-08,0.24969
2.92e-08,0.38729
2.93e-08,0.37088
2.94e-08,0.21928
2.95e-08,1.8562e-10
2.96e-08,-0.20007
2.97e-08,-0.30875
2.98e-08,-0.29417
2.99e-08,-0.17304
3e-08,2.8004e-10
3.01e-08,0.15629
3.02e-08,0.23995
3.03e-08,0.22746
3.04e-08,0.13312
3.05e-08,-1.4692e-10
3.06e-08,-0.11901
3.07e-08,-0.18179
3.08e-08,-0.17145
3.09e-08,-0.099833
3.1e-08,2.1194e-10
3.11e-08,0.088347
3.12e-08,0.13427
3.13e-08,0.12599
3.14e-08,0.072987
3.15e-08,-5.5636e-11
3.16e-08,-0.063935
3.17e-08,-0.096674
3.18e-08,-0.090251
3.19e-08,-0.052019
3.2e-08,-1.695e-10
3.21e-08,0.045105
3.22e-08,0.067856
3.23e-08,0.063025
3.24e-08,0.036142
3.25e-08,9.3007e-11
3.26e-08,-0.031021
3.27e-08,-0.046431
3.28e-08,-0.042906
3.29e-08,-0.02448
3.3e-08,-4.6393e-11
3.31e-08,0.020798
3.32e-08,0.030972
3.33e-08,0.028475
3.34e-08,0.016164
3.35e-08,-6.5782e-12
3.36e-08,-0.013594
3.37e-08,-0.02014
3.38e-08,-0.018423
3.39e-08,-0.010404
3.4e-08,-3.7151e-12
3.41e-08,0.0086615
3.42e-08,0.012767
3.43e-08,0.011619
3.44e-08,0.0065288
3.45e-08,5.9033e-13
3.46e-08,-0.00538
3.47e-08,-0.0078901
3.48e-08,-0.0071442
3.49e-08,-0.0039938
3.5e-08,4.1866e-12
3.51e-08,0.0032577
3.52e-08,0.0047534
3.53e-08,0.0042821
3.54e-08,0.0023817
3.55e-08,-2.6228e-12
3.56e-08,-0.0019231
3.57e-08,-0.0027917
3.58e-08,-0.0025021
3.59e-08,-0.0013846
3.6e-08,-2.6906e-12
3.61e-08,0.0011066
3.62e-08,0.0015983
3.63e-08,0.0014253
3.64e-08,0.00078471
3.65e-08,-1.1387e-12
3.66e-08,-0.00062081
3.67e-08,-0.0008921
3.68e-08,-0.00079147
3.69e-08,-0.00043354
3.7e-08,-3.6421e-13
3.71e-08,0.00033951
3.72e-08,0.0004854
